# Results for 10000 trials
# n   time (msec)
# ---------------
5  24
10  2
15  3
20  5
25  6
30  4
35  4
40  5
45  8
50  7
55  8
60  9
65  9
70  11
75  12
80  12
85  13
90  14
95  16
100  16
105  16
110  18
115  18
120  22
125  20
130  20
135  22
140  24
145  23
150  25
155  27
160  30
165  26
170  29
175  29
180  31
185  36
190  32
195  35
200  37
205  37
210  36
215  38
220  38
225  42
230  43
235  43
240  43
245  46
250  46
255  47
260  46
265  52
270  51
275  51
280  51
285  50
290  55
295  54
300  57
